url,domainStart,domainEnd,sslStart,sslEnd,sslIssuer,label
cizmelikedi,172,192,-1,-1,,0
uzmangrupcevre,4250,496,12,78,Let's Encrypt,0
thewelly,1381,444,-1,-1,,0
goggo,1485,340,3,87,ZeroSSL,0
dizaynlife,4356,1121,-1,-1,,0
urmet,4300,81,33,57,Let's Encrypt,0
megal,1030,63,20,70,Let's Encrypt,0
harontur,3595,55,59,31,"cPanel, Inc.",0
durutv,372,-9,-1,-1,,0
minikacocuk,4321,60,-1,-1,,0
adaderyasut,6230,343,-1,-1,,0
firatcicek,1824,0,23,67,Let's Encrypt,0
desisoto,5229,613,51,39,Let's Encrypt,0
ccslojistik,3333,-48,-1,-1,,0
turkmen,7146,1252,271,94,"Cloudflare, Inc.",0
bloomhair,658,1531,-1,-1,,0
fatihyagci,3370,281,-1,-1,,0
antenfiyati,1457,368,32,58,Let's Encrypt,0
bilkoleji,3532,119,57,33,Google Trust Services LLC,0
ibrahimaygun,1932,258,20,70,Sectigo Limited,0
airtech,624,835,33,57,Let's Encrypt,0
invictustohumculuk,1633,192,-1,-1,,0
rubin,7156,147,50,40,Let's Encrypt,0
sefagedik,1772,52,16,74,Google Trust Services LLC,0
osmanbeser,1775,49,52,38,Let's Encrypt,0
almir,2501,53,24,66,Let's Encrypt,0
marsbanyo,779,315,-1,-1,,0
ertanaydin,1676,149,59,31,Let's Encrypt,0
radio5,3041,1706,239,126,Sectigo Limited,0
komtel,1144,315,-1,-1,,0
trarge,3294,357,37,53,Sectigo Limited,0
usthealthconsulting,3102,914,32,58,Let's Encrypt,0
citrocasa,2695,225,-1,-1,,0
tacyapidenetim,854,970,-1,-1,,0
tsnsigorta,919,175,19,71,Let's Encrypt,0
kalitebelgesi,127,237,49,41,Let's Encrypt,0
lidertuz,1113,346,6,84,Let's Encrypt,0
varismobilya,5734,108,50,40,Let's Encrypt,0
bardata,4505,242,207,158,Sectigo Limited,0
kulturtv,5944,994,161,205,GoGetSSL,0
gardennatura,1848,1436,50,40,Let's Encrypt,0
igresellers,1355,104,-1,-1,,0
nik,10025,930,43,47,Let's Encrypt,0
radyoliman,3210,75,-1,-1,,0
bubblemunch,946,513,-1,-1,,0
byteelektronik,3143,508,30,60,Let's Encrypt,0
ozkanotomotiv,5814,394,59,31,"cPanel, Inc.",0
ozgurdeveci,805,289,31,59,Let's Encrypt,0
sosyalmedyaodulleri,4019,362,36,54,Let's Encrypt,0
ideally,2033,887,36,54,Google Trust Services LLC,0
higayapi,1383,76,53,37,Let's Encrypt,0
kolcam,1289,535,106,259,Sectigo Limited,0
veito,4425,322,59,31,Let's Encrypt,0
addwords,3529,1217,49,41,Let's Encrypt,0
adabasar,3341,310,-1,-1,,0
blokzincir,2170,18,58,32,Google Trust Services LLC,0
crslojistik,799,295,44,46,Let's Encrypt,0
oktayaksu,5239,968,54,36,Let's Encrypt,0
bychocolate,1001,93,32,58,Google Trust Services LLC,0
diobaby,939,155,-1,-1,,0
vanallen,2138,51,31,59,Let's Encrypt,0
pointbilgiislem,2023,167,6,84,Google Trust Services LLC,0
uclerplastik,6542,30,20,70,Let's Encrypt,0
ter,1065,28,57,33,Google Trust Services LLC,0
mediaview,1005,88,30,60,Let's Encrypt,0
uludaglarplastik,1969,221,27,63,Let's Encrypt,0
mecitoglu,8151,613,-1,-1,,0
omcametal,3179,107,53,37,Let's Encrypt,0
ozelhaberler,3762,254,45,45,Let's Encrypt,0
bilalbayrak,1453,372,24,66,Let's Encrypt,0
kangruplari,4031,350,27,63,Google Trust Services LLC,0
btvizyon,1334,125,-1,-1,,0
grassco,618,111,5,85,Let's Encrypt,0
polmetpetrokimya,2501,53,-1,-1,,0
otukenhaber,2780,140,-1,-1,,0
karakucak,5884,324,-1,-1,,0
ziraatsigorta,5305,537,-1,-1,,0
herbaland,2122,1163,41,49,Let's Encrypt,0
5kprekast,2236,319,-1,-1,,0
ilpart,5576,266,-1,-1,,0
bayramictarim,1275,184,9,81,Let's Encrypt,0
teamservice,8054,345,36,54,Let's Encrypt,0
drinns,4706,1136,51,39,Let's Encrypt,0
ankist,1137,687,30,335,Sectigo Limited,0
tunchan,4385,362,7,83,Let's Encrypt,0
periagarden,492,237,39,51,Google Trust Services LLC,0
buharenerji,5211,266,-1,-1,,0
reslan,7905,129,7,83,Let's Encrypt,0
gulamour,1411,48,15,75,Let's Encrypt,0
murtazaoglu,3538,113,-1,-1,,0
sosyalakademi,799,295,0,90,Let's Encrypt,0
khanfilter,2258,297,69,21,"cPanel, Inc.",0
lucaser,2867,784,-1,-1,,0
nesecay,6427,146,49,41,Let's Encrypt,0
esayaninsaat,3812,204,59,31,Let's Encrypt,0
e-go,459,270,36,54,Let's Encrypt,0
fya,1446,379,11,79,Let's Encrypt,0
cobangroup,666,1523,48,42,Let's Encrypt,0
kromevye,6314,624,66,299,Sectigo Limited,0
simgetelekom,5532,1040,211,154,Sectigo Limited,0
pekala,1065,28,53,37,Let's Encrypt,0
akalin,8326,72,325,40,Isimtescil Bilisim A.S.,0
antalyaemlak,2859,1522,35,55,Let's Encrypt,0
me-tol,4965,1242,50,40,Let's Encrypt,0
adembaba,5805,37,9,81,Let's Encrypt,0
riverplaza,1857,332,40,50,Let's Encrypt,0
karanfilbaharat,2431,124,48,42,Let's Encrypt,0
siyasethaber,2005,185,-1,-1,,0
remsa,2903,748,5,85,Let's Encrypt,0
ezraoliveoil,1185,274,14,76,Let's Encrypt,0
alist,2236,319,52,38,Google Trust Services LLC,0
sbhukuk,1779,411,35,55,Let's Encrypt,0
kralstore,1579,611,17,73,"cPanel, Inc.",0
premieryapi,689,1135,11,79,Let's Encrypt,0
agga,553,176,36,54,Let's Encrypt,0
tekniksu,6471,102,-1,-1,,0
istanbullazer,6401,172,-1,-1,,0
toyenerji,785,309,2,88,Let's Encrypt,0
woolona,1578,1342,294,70,"Cloudflare, Inc.",0
theory,2909,742,32,58,Google Trust Services LLC,0
gokhanhafriyat,4279,102,13,77,Let's Encrypt,0
natac,3900,116,29,61,Let's Encrypt,0
ubad,2478,806,43,47,Let's Encrypt,0
javdes,5887,1051,31,59,Let's Encrypt,0
arimpex,893,1296,140,225,E-TUGRA EBG BILISIM TEKNOLOJILERI VE HIZMETLERI ANONIM SIRKETI,0
olusum,3608,1503,27,63,Let's Encrypt,0
ikie,850,609,-1,-1,,0
prolizma,2573,-19,-1,-1,,0
profteks,9625,600,-1,-1,,0
bornahomes,718,376,29,61,Let's Encrypt,0
orhandemircan,977,117,19,71,Let's Encrypt,0
igdirbeton,5376,101,40,50,Let's Encrypt,0
b-rainteam,4391,356,28,62,Let's Encrypt,0
prato,45,319,-1,-1,,0
idilin,2212,-23,-1,-1,,0
almeks,6920,1478,33,57,Let's Encrypt,0
gimer,548,546,48,42,Let's Encrypt,0
mavitelekom,5112,730,38,52,Let's Encrypt,0
senyeterkiiste,3978,37,-1,-1,,0
ktnsogutma,1432,27,-1,-1,,0
flexigo,2051,139,11,79,Google Trust Services LLC,0
serunkimya,3306,345,50,40,Let's Encrypt,0
durucreative,1697,128,13,77,Let's Encrypt,0
bahisgazetesi,1050,43,-1,-1,,0
hayalimdekipasta,3969,46,-1,-1,,0
mssports,816,1008,27,63,Let's Encrypt,0
aycankozmetik,5622,220,-1,-1,,0
aykocambalaj,1242,217,37,53,Let's Encrypt,0
siriussoft,592,137,83,282,"Cloudflare, Inc.",0
unifol,6843,460,59,31,Let's Encrypt,0
sleeptight,442,287,46,44,Let's Encrypt,0
foxon,1474,-15,-1,-1,,0
eminzeybek,1747,77,29,61,Let's Encrypt,0
fet,568,161,-1,-1,,0
ararat-emt,1793,397,58,32,Let's Encrypt,0
woma,1512,678,55,35,Let's Encrypt,0
onerler,9109,1116,9,81,Let's Encrypt,0
orneo,5359,483,-1,-1,,0
friendscamp,1065,28,47,43,Sectigo Limited,0
akinrobotics,1802,1849,39,51,ZeroSSL,0
hamile,6283,290,25,65,Let's Encrypt,0
apical,2760,160,19,71,Let's Encrypt,0
ifyil,4489,988,261,104,Sectigo Limited,0
ogenerji,1970,220,58,32,Let's Encrypt,0
akupunkturk,766,-38,-1,-1,,0
lrf,2107,448,-1,-1,,0
madeinturkiye,2461,459,57,33,Let's Encrypt,0
ozkoza,658,70,296,69,Sectigo Limited,0
siteadi,4620,127,2,88,Let's Encrypt,0
doktorjet,1439,386,2,88,Google Trust Services LLC,0
emetkecipeyniri,676,1148,51,39,Let's Encrypt,0
mtklima,4306,75,-1,-1,,0
ormecioglu,395,-32,-1,-1,,0
fiskomar,5337,140,58,32,Let's Encrypt,0
istanbulseyahat,6525,413,58,32,Google Trust Services LLC,0
bubebe,2199,356,23,67,Let's Encrypt,0
nebe,2465,455,-1,-1,,0
afc,4785,1422,42,48,Let's Encrypt,0
novel,7627,41,360,5,Sectigo Limited,0
paulbrand,135,229,15,75,Google Trust Services LLC,0
damlamakina,3622,759,2,88,Let's Encrypt,0
havvas,2423,132,16,74,Let's Encrypt,0
creapool,2041,1610,87,3,SSL Corporation,0
akdemirlermakina,2208,347,-1,-1,,0
kalbiminyildizi,1319,1601,23,67,"cPanel, Inc.",0
mimsan,9235,260,40,50,Let's Encrypt,0
enas,1708,117,-1,-1,,0
guneshotel,8943,917,58,32,Let's Encrypt,0
lenasso,2268,1382,25,65,Google Trust Services LLC,0
asj,4412,335,-1,-1,,0
ad-venture,3081,205,-1,-1,,0
diviter,4384,-3,-1,-1,,0
senirkentmadencilik,1186,273,40,50,Let's Encrypt,0
farmakozmetika,1193,266,11,79,Google Trust Services LLC,0
fruitree,648,80,51,39,Sectigo Limited,0
selcukotomotiv,2639,281,50,40,Google Trust Services LLC,0
gnses,1052,1137,36,54,Let's Encrypt,0
autoblade,1373,452,51,39,Let's Encrypt,0
pilavtarifleri,3537,114,27,63,Let's Encrypt,0
brotmas,2529,391,50,40,Let's Encrypt,0
bufa,1186,638,28,62,Let's Encrypt,0
borekciahmet,1509,316,5,85,Let's Encrypt,0
izmirrafsistemleri,2866,54,-1,-1,,0
enverguler,4767,345,52,38,Let's Encrypt,0
asdizayn,1663,1257,19,71,Let's Encrypt,0
selamcarpet,703,25,45,45,Let's Encrypt,0
iggm,2926,725,-1,-1,,0
bozkurtlarmetal,4424,323,59,31,Let's Encrypt,0
efskalip,1415,775,-1,-1,,0
dekorama,6878,790,-1,-1,,0
pelinltd,5975,598,14,76,Let's Encrypt,0
artidd,5888,320,54,36,Let's Encrypt,0
srlinsaat,1221,603,32,58,Let's Encrypt,0
cesatelekom,4341,1136,192,173,Sectigo Limited,0
algorotomotiv,725,369,51,39,Let's Encrypt,0
patamor,633,96,33,57,Sectigo Limited,0
mdmglobal,1744,80,55,35,Let's Encrypt,0
cetinkayamermer,631,98,31,59,Let's Encrypt,0
beranet,3185,466,41,49,Google Trust Services LLC,0
moodyscafe,3434,1312,45,45,Let's Encrypt,0
allboard,386,343,31,59,Google Trust Services LLC,0
elmak,9767,1554,15,75,Let's Encrypt,0
ulusglobal,1452,373,43,47,Let's Encrypt,0
graniter,6933,370,52,38,Let's Encrypt,0
claas,6212,361,31,59,Let's Encrypt,0
flystop,1884,306,32,58,Let's Encrypt,0
erkanlastik,3704,677,39,51,Let's Encrypt,0
prestijmedikal,3305,346,36,54,Let's Encrypt,0
cetinaytac,3506,1240,48,42,Let's Encrypt,0
gunaydin,9355,140,-1,-1,,0
nevisoft,2782,138,-1,-1,,0
pixelstudio,6388,1280,-1,-1,,0
tatars,1796,28,47,43,Let's Encrypt,0
artistmusic,6114,94,54,311,Sectigo Limited,0
tth,5873,335,-1,-1,,0
somabilgisayar,3602,48,31,59,Let's Encrypt,0
ferdicildiz,878,216,24,66,Let's Encrypt,0
meksa,7156,877,16,380,DigiCert Inc,0
estemuhendislik,5040,437,48,42,Let's Encrypt,0
altinbilge,1964,1687,40,50,Let's Encrypt,0
nebim,9736,124,99,268,DigiCert Inc,0
dalamantravel,2289,266,18,72,Let's Encrypt,0
rotbalans,5707,865,-1,-1,,0
toreks,3838,178,-1,-1,,0
olusummusavirlik,7291,12,9,81,Let's Encrypt,0
memosunglasses,2573,1077,9,81,GoGetSSL,0
cagdasyapiteknik,3656,360,-1,-1,,0
emrebasoglu,3320,331,59,31,Let's Encrypt,0
acimuhendislik,6208,730,108,257,DigiCert Inc,0
candan,1586,239,1,89,Let's Encrypt,0
moldplay,2622,663,20,70,Let's Encrypt,0
ilkegrup,2139,781,59,31,Let's Encrypt,0
protekgrup,4987,125,-1,-1,,0
egitimdunyasi,6805,133,18,72,Let's Encrypt,0
bucasirinleranaokulu,4384,-3,-1,-1,,0
iyianlar,6483,90,21,69,Let's Encrypt,0
polatlarmekanik,1668,522,53,37,Let's Encrypt,0
yavuzpasalar,4309,72,5,85,Let's Encrypt,0
furkanyigit,3084,567,37,53,Let's Encrypt,0
hansfel,3529,122,27,63,Let's Encrypt,0
narp,1834,721,4,86,Let's Encrypt,0
radyoozgur,6563,1470,-1,-1,,0
onderbayrak,2034,1251,10,80,Let's Encrypt,0
tanriverdiinsaat,753,341,20,70,Let's Encrypt,0
demirellertraktor,4987,125,-1,-1,,0
atlascro,3443,208,47,43,Let's Encrypt,0
algiozelegitim,4187,194,-1,-1,,0
disneychannel,6080,128,-1,-1,,0
generalmermer,6479,94,22,68,Let's Encrypt,0
vitamingubre,1096,363,15,75,Google Trust Services LLC,0
onsamak,3616,400,21,69,Let's Encrypt,0
akmeka,3306,710,38,52,Let's Encrypt,0
yatkiralama,3334,317,316,79,Sectigo Limited,0
arkicell,2128,61,35,55,Let's Encrypt,0
konet,1634,191,34,56,Google Trust Services LLC,0
karabayticaret,1088,1832,38,52,Sectigo Limited,0
hicret,7465,204,27,63,Let's Encrypt,0
uck,1521,304,11,79,Google Trust Services LLC,0
serkanyurekli,2186,1464,-1,-1,,0
vienart,1130,694,58,32,Let's Encrypt,0
beyler,1626,199,12,78,Let's Encrypt,0
tekmar,4087,294,18,72,Let's Encrypt,0
cuttech,1898,657,114,266,Sectigo Limited,0
jinofizik,1130,329,45,45,"cPanel, Inc.",0
gulayduman,1589,601,29,61,Let's Encrypt,0
