url,domainStart,domainEnd,sslStart,sslEnd,sslIssuer,label
biasso,1066,393,43,47,Let's Encrypt,0
derinteknoloji,464,1360,8,82,"cPanel, Inc.",0
robocamp,2692,228,42,48,"cPanel, Inc.",0
burakozenc,1002,92,45,45,Let's Encrypt,0
genzlab,1841,349,14,76,Google Trust Services LLC,0
alchemlife,2178,10,50,40,Let's Encrypt,0
hasdoor,2202,352,24,66,Let's Encrypt,0
tibak,3420,231,4,86,Let's Encrypt,0
nur-coating,3257,28,58,32,Let's Encrypt,0
kidzee,1351,838,11,79,Let's Encrypt,0
agenttekstil,9690,170,-1,-1,,0
behrimantuglu,1092,1,30,60,Google Trust Services LLC,0
caracal,959,135,45,45,Let's Encrypt,0
henateks,2366,189,27,63,Let's Encrypt,0
tisan,8568,561,8,82,"cPanel, Inc.",0
supersol,3244,41,226,154,Sectigo Limited,0
woer,5776,797,35,55,Let's Encrypt,0
mertsom,4901,941,88,2,Let's Encrypt,0
capar,3965,416,2,88,Let's Encrypt,0
biseyler,3306,345,56,34,Sectigo Limited,0
antalyateknokent,1561,264,63,302,Sectigo Limited,0
currentworks,652,76,305,59,"Cloudflare, Inc.",0
ayostar,1697,493,-1,-1,,0
wirelessdestek,2601,319,56,34,Let's Encrypt,0
artindoor,3980,35,-1,-1,,0
irmakturizm,4356,1486,25,65,Let's Encrypt,0
maus,6171,36,29,61,Google Trust Services LLC,0
geyiknakliyat,5839,3,-1,-1,,0
farmatek,5483,359,88,277,Sectigo Limited,0
mesaotomotiv,7305,364,10,80,Let's Encrypt,0
ufel,3983,398,44,46,Let's Encrypt,0
caliskandekorasyon,4613,499,41,49,Let's Encrypt,0
hrglobal,5196,646,-1,-1,,0
modelofset,3672,709,339,57,Sectigo Limited,0
akarmuhendislik,4846,266,10,355,Sectigo Limited,0
burkayinsaat,2299,256,42,48,Let's Encrypt,0
panodanismanlik,1898,292,35,55,Let's Encrypt,0
narplas,5513,329,50,40,Let's Encrypt,0
itokent1,2277,278,-1,-1,,0
yetermakina,7778,256,1,89,Let's Encrypt,0
ornekofset,2681,239,5,85,Let's Encrypt,0
araplidernegi,1793,31,-1,-1,,0
eralpaydinlatma,1484,341,-1,-1,,0
hesaselektrik,3619,31,-1,-1,,0
uluocak,6633,-61,-1,-1,,0
markha,144,220,-1,-1,,0
gungordu,6280,658,5,85,Let's Encrypt,0
oncall,1823,366,12,78,Let's Encrypt,0
kareosgb,4223,158,-1,-1,,0
formmakina,6819,119,13,77,Let's Encrypt,0
demirozler,7499,900,58,32,Let's Encrypt,0
oceannet,3836,180,0,90,ZeroSSL,0
vegagold,1667,158,34,56,Let's Encrypt,0
dockersmobilya,843,616,54,36,Google Trust Services LLC,0
dalmacyali,1451,739,25,65,Let's Encrypt,0
tepekentmimarlik,2516,1134,17,73,Let's Encrypt,0
senasspizza,5544,298,9,81,Let's Encrypt,0
yirmidort,5590,1347,24,66,Let's Encrypt,0
yesiloglumetal,521,1669,6,84,Let's Encrypt,0
ekvatormed,3236,49,-1,-1,,0
fertec,2998,288,11,79,Let's Encrypt,0
buldanconcept,2566,354,49,41,Let's Encrypt,0
erkagroup,688,1501,15,75,Let's Encrypt,0
parstr,1698,127,16,74,Let's Encrypt,0
bahadirambalaj,3063,588,-1,-1,,0
katrebilgisayar,4455,657,-1,-1,,0
armaganoyuncak,4627,850,309,55,"Cloudflare, Inc.",0
taji,6589,349,0,90,"cPanel, Inc.",0
veyseltarim,1255,1299,-1,-1,,0
balcigokmen,5967,241,-1,-1,,0
aciknet,4757,720,-1,-1,,0
samsunnakliyat,1773,51,50,40,Let's Encrypt,0
evolboya,2795,490,27,63,Google Trust Services LLC,0
diyarbakirspor,1548,277,-1,-1,,0
solites,2174,15,9,81,Let's Encrypt,0
alsonyangin,1971,1314,-1,-1,,0
alys,4223,523,11,79,Let's Encrypt,0
kuyulukonak,619,1205,146,219,Sectigo Limited,0
ceviz,8668,826,51,39,Sectigo Limited,0
turnagaz,8345,53,8,82,Let's Encrypt,0
techbender,1058,35,38,52,Let's Encrypt,0
akyilgil,4356,25,16,74,Let's Encrypt,0
besthome,6462,841,38,52,Let's Encrypt,0
sharax,1157,302,35,55,Google Trust Services LLC,0
msstekstil,2010,180,208,172,Sectigo Limited,0
irmakytk,2671,979,20,70,Let's Encrypt,0
dolkadizayn,2205,350,-1,-1,,0
metinar,1163,296,9,81,Let's Encrypt,0
mindermarket,1716,109,7,83,Let's Encrypt,0
camerlengo,1864,326,-1,-1,,0
kinsizlerenerji,4259,122,56,34,Let's Encrypt,0
daisymobilya,5131,346,7,83,Let's Encrypt,0
yugenlab,1018,75,33,57,Sectigo Limited,0
emiconistanbul,2781,139,12,78,Let's Encrypt,0
ickalekereste,6213,360,-1,-1,,0
sayginlarorman,465,1359,105,261,Sectigo Limited,0
egesehir,974,120,-1,-1,,0
zahtergurme,935,159,-1,-1,,0
forumlife,4937,175,-1,-1,,0
runpaw,738,-10,-1,-1,,0
fasonkutuharf,1451,739,49,41,Let's Encrypt,0
mkygroup,837,987,30,60,Let's Encrypt,0
str,8442,322,-1,-1,,0
dogter,3593,57,268,97,Sectigo Limited,0
bagas,2585,335,30,60,Let's Encrypt,0
ahldogalgaz,1963,1688,-1,-1,,0
fva,844,250,81,9,Let's Encrypt,0
firinciorhan,6702,1697,-1,-1,,0
klyapi,3781,1330,-1,-1,,0
halkulasim,393,336,-1,-1,,0
nrdfilm,1509,316,54,36,Let's Encrypt,0
chatraw,2649,271,-1,-1,,0
nakliyerehberim,6561,11,344,21,Sectigo Limited,0
hurturktv,672,56,279,86,"Cloudflare, Inc.",0
parkorman,815,1374,27,63,SSL Corporation,0
gazzella,5294,183,11,79,Google Trust Services LLC,0
guneysu,3313,338,88,277,DigiCert Inc,0
oteldeniz,3994,1482,50,40,Let's Encrypt,0
mentekod,1156,668,280,107,"GoDaddy.com, Inc.",0
tedarikzinciri,1737,87,-1,-1,,0
infors,1397,62,77,13,Let's Encrypt,0
kirtizlarun,2816,104,-1,-1,,0
rayment,819,1005,319,46,Isimtescil Bilisim A.S.,0
yeniaykutlar,6026,182,56,34,Let's Encrypt,0
samagida,2451,104,-1,-1,,0
durakbasa,1606,1680,44,46,Let's Encrypt,0
marcel,527,202,-1,-1,,0
elira,914,180,13,77,Let's Encrypt,0
btsan,784,-56,-1,-1,,0
cherryvalley,2584,1796,-1,-1,,0
sahsultan,1031,1158,10,80,Let's Encrypt,0
uyduinternet,3262,389,25,65,Let's Encrypt,0
bekerpcb,1327,497,-1,-1,,0
veritasmedia,962,862,-1,-1,,0
pergaoto,1810,14,-1,-1,,0
ugodog,5159,318,-1,-1,,0
kelesogullariinsaat,883,211,48,317,Sectigo Limited,0
metpack,2576,1438,-1,-1,,0
isikdemir,3486,165,-1,-1,,0
alternatiflease,2311,1339,-1,-1,,0
intersoy,5140,1432,-1,-1,,0
nicsbt,1073,386,9,81,Let's Encrypt,0
harunsimsek,2375,545,1,89,Let's Encrypt,0
hasantandogan,1101,358,51,39,Google Trust Services LLC,0
uday,868,226,46,44,Let's Encrypt,0
edmedya,4011,370,2,88,Let's Encrypt,0
edudizayn,3153,498,49,41,Let's Encrypt,0
babadagyamacparasutu,1563,627,14,76,Let's Encrypt,0
cortex,1257,932,20,70,Let's Encrypt,0
s4,4064,682,264,101,Isimtescil Bilisim A.S.,0
erkinismakinalari,2453,102,49,41,Let's Encrypt,0
tiklayemek,2328,592,-1,-1,,0
yukselengrup,725,3,-1,-1,,0
nilyapi,6512,60,-1,-1,,0
wws-wasserkraft,784,1040,3,87,Let's Encrypt,0
ceyhuntargin,2345,210,22,68,Let's Encrypt,0
xox,3943,1168,13,77,Let's Encrypt,0
vucut,2935,351,290,75,"Cloudflare, Inc.",0
turgaygoncu,2677,243,44,46,Let's Encrypt,0
tipmedsan,7616,52,34,56,Let's Encrypt,0
hayat,9727,498,247,150,GlobalSign nv-sa,0
suleymanaydin,3320,331,3,87,Let's Encrypt,0
izotas,8332,66,-1,-1,,0
cuzine,4742,1831,311,54,Sectigo Limited,0
hastabezi,3966,49,46,44,Let's Encrypt,0
mertsangida,3994,387,42,48,Let's Encrypt,0
roroconcept,1558,267,42,323,"Cloudflare, Inc.",0
pleionesoaps,597,132,195,170,Isimtescil Bilisim A.S.,0
kentleasing,8704,1521,-1,-1,,0
hckihracat,900,924,-1,-1,,0
maysafe,1156,668,51,39,Let's Encrypt,0
ankarayazilim,3127,889,39,51,Let's Encrypt,0
organikoyuncak,2466,88,-1,-1,,0
uzuninsaat,6486,817,-1,-1,,0
kokyayincilik,8619,145,26,64,Let's Encrypt,0
arshanyapi,2782,138,337,28,Isimtescil Bilisim A.S.,0
disadresim,616,113,-1,-1,,0
ciragancouture,1660,165,21,69,Let's Encrypt,0
safemic,2275,280,-1,-1,,0
alfaalacak,766,328,-1,-1,,0
ozanata,1799,25,39,51,Let's Encrypt,0
co2nnectorpro,1627,198,58,32,Google Trust Services LLC,0
hidrotek,4368,379,45,45,Let's Encrypt,0
anne,4229,152,27,63,Google Trust Services LLC,0
milhans,5371,836,25,372,"GoDaddy.com, Inc.",0
atlasenergy,2457,463,12,78,Let's Encrypt,0
fatihmoda,1268,191,17,73,Google Trust Services LLC,0
ozelguvenlik,4218,528,20,70,Let's Encrypt,0
nsaoptik,4706,1136,44,321,"Cloudflare, Inc.",0
istanbulbeyazesyaservisi,1208,981,7,83,Let's Encrypt,0
antyapi,6779,889,12,78,Let's Encrypt,0
aktifmekanik,6318,255,-1,-1,,0
supet,7935,99,59,31,Let's Encrypt,0
emties,3479,172,37,53,Let's Encrypt,0
akkoza,8808,322,-1,-1,,0
antesavunma,2556,1094,19,71,Let's Encrypt,0
etkintekniksogutma,5030,81,31,59,Let's Encrypt,0
baksu,751,343,29,61,Let's Encrypt,0
markacart,945,514,6,84,Google Trust Services LLC,0
euroser,5708,134,38,52,Let's Encrypt,0
autagency,375,-12,-1,-1,,0
bika,8898,1693,128,239,Sectigo Limited,0
mehmetdinc,214,150,-1,-1,,0
yenievdunyasi,3669,347,6,84,Google Trust Services LLC,0
korayagaya,3172,114,55,35,Let's Encrypt,0
zetateknik,5181,661,16,74,Let's Encrypt,0
cengizacikel,3308,708,-1,-1,,0
viptemizlik,2720,200,38,52,Let's Encrypt,0
istisna,4454,658,24,66,Let's Encrypt,0
candypark,5433,43,-1,-1,,0
sayegroup,802,657,6,84,Let's Encrypt,0
ispartasifa,5786,56,-1,-1,,0
rasitgurbuz,5103,8,27,63,Google Trust Services LLC,0
seohocasi,4263,118,31,59,Let's Encrypt,0
mobilchat,975,119,13,77,Let's Encrypt,0
izotermmuhendislik,2943,343,27,63,Let's Encrypt,0
vatansevermuhendislik,3852,164,-1,-1,,0
akaygrup,6416,522,17,73,Let's Encrypt,0
cimci,3662,354,54,36,Let's Encrypt,0
marmarisdatcayolyardimotokurtarma,1443,382,243,122,Sectigo Limited,0
welma,1411,48,1,89,Let's Encrypt,0
