url,domainStart,domainEnd,sslStart,sslEnd,sslIssuer,label,dlPhishingScore
celikparakasasi,2221,1064,46,44,Google Trust Services LLC,0,0.07307511
didemdogan,2559,361,36,54,Let's Encrypt,0,0.0030326222
oksijen,5239,968,-1,-1,,0,0.03464318
sektoreltema,1809,15,10,80,Let's Encrypt,0,0.22624178
eserdekorasyon,5330,147,3,87,Let's Encrypt,0,0.0013340578
arvinyahome,2534,386,21,69,Let's Encrypt,0,0.03367579
evacare,1598,227,-1,-1,,0,0.035424016
erensenetci,1178,281,255,110,"Cloudflare, Inc.",0,0.0078930855
ozaktemizlik,1710,115,25,65,"cPanel, Inc.",0,0.003187749
onurinsaatmalzemeleri,2076,114,-1,-1,,0,0.0045433114
yemeksaati,638,91,56,34,Let's Encrypt,0,0.0062468513
erkanilkbahar,2354,566,1,89,Let's Encrypt,0,0.08625372
derinticaret,4894,218,60,30,Let's Encrypt,0,0.017767902
boeem,1089,735,11,79,Google Trust Services LLC,0,0.033395942
etalojistik,2571,349,7,83,Google Trust Services LLC,0,0.0019155637
teknikbilgisayar,442,287,1,89,Let's Encrypt,0,0.0039957096
sinopsigorta,1901,289,9,81,Let's Encrypt,0,0.005691601
fabsis,1106,718,25,65,Let's Encrypt,0,0.10950386
isagulec,3056,960,33,57,Let's Encrypt,0,0.053875208
clone,890,204,11,79,Let's Encrypt,0,0.30531517
siagida,2814,106,48,42,Let's Encrypt,0,0.038195595
bodyography,630,464,66,24,Let's Encrypt,0,0.08412541
hakanaluminyum,1634,191,7,83,Let's Encrypt,0,0.00088657625
kareksangida,3622,28,-1,-1,,0,0.0016454455
maviperimimarlik,5278,564,32,58,Let's Encrypt,0,0.0046812957
alkimkagit,8535,229,252,113,Sectigo Limited,0,0.010945656
tiyatrokare,443,286,259,105,"Cloudflare, Inc.",0,0.050425243
talyabilisim,5209,633,301,63,"Cloudflare, Inc.",0,0.01305431
unver,9466,1124,-1,-1,,0,0.037257608
tamzara,5719,123,-1,-1,,0,0.010595368
eminmobilya,1176,283,18,72,Let's Encrypt,0,0.0029148613
carem,5371,836,78,287,Sectigo Limited,0,0.016025268
altinguvercin,1606,219,36,54,Let's Encrypt,0,0.020596094
basaranlargranit,3004,282,38,52,Let's Encrypt,0,0.003766539
prodaxi,2447,108,2,88,Let's Encrypt,0,0.0894818
eliftextile,982,112,55,35,Let's Encrypt,0,0.00317881
kanadakulturmerkezi,5256,586,49,41,Google Trust Services LLC,0,0.01685147
ankaragursakaryasurucukursu,969,125,25,65,Let's Encrypt,0,0.00074186386
torteks,534,195,47,43,Let's Encrypt,0,0.008638961
alarmsistemleri,3518,1594,40,50,Let's Encrypt,0,0.042897243
yigithanozdemir,195,169,-1,-1,,0,0.0014035353
hepigo,442,287,-1,-1,,0,0.11526871
lemagenerji,1197,627,33,57,Let's Encrypt,0,0.000927743
mobilyaturk,5274,203,24,66,Let's Encrypt,0,0.095791176
byrafael,745,1079,37,53,Let's Encrypt,0,0.0071066525
evdeneve,6269,304,6,84,Let's Encrypt,0,0.034178097
soflowers,1414,45,12,78,Let's Encrypt,0,0.091152705
burakfidanci,3160,126,-1,-1,,0,0.03190636
antip,6791,147,23,67,Let's Encrypt,0,0.15675005
yusufkasap,1311,148,2,88,Let's Encrypt,0,0.0017993004
novagena,1428,762,40,50,Let's Encrypt,0,0.2433703
voicebros,1871,684,23,67,Let's Encrypt,0,0.44966614
erkanegitim,7070,233,7,83,Let's Encrypt,0,0.0037114737
kepp,7470,1294,-1,-1,,0,0.14917026
ayseminsaat,2451,104,59,31,Let's Encrypt,0,0.0029270505
primegroupe,1347,477,19,71,Sectigo Limited,0,0.6091794
sarsguvenlik,1487,338,12,78,Let's Encrypt,0,0.010130961
sesu,9088,41,57,33,Let's Encrypt,0,0.03385587
fssc22000,1023,70,27,63,Let's Encrypt,0,0.91156375
cigkoftecibey,1124,335,38,52,Let's Encrypt,0,0.011703004
kahyametal,3815,201,16,74,Let's Encrypt,0,0.0010697483
mertplastik,6388,185,-1,-1,,0,0.002890077
himas,5061,50,-1,-1,,0,0.034235645
profmak,31,333,26,64,Google Trust Services LLC,0,0.022270959
lukshirdavat,3815,931,40,50,Let's Encrypt,0,0.009149365
kurabarajlari,4362,1115,10,80,Let's Encrypt,0,0.205359
epsilonpromosyon,878,1311,7,83,Let's Encrypt,0,0.043150984
autobot,1212,247,-1,-1,,0,0.05458505
dervisogluorganik,1719,106,9,81,Let's Encrypt,0,0.0034774174
irisdanismanlik,7057,611,-1,-1,,0,0.007130703
novitech,2848,438,54,36,Let's Encrypt,0,0.004020236
pigmentreklam,5118,724,46,44,"cPanel, Inc.",0,0.0076323696
fanatik,9884,341,340,57,GlobalSign nv-sa,0,0.11261502
mermuhendislik,673,55,2,88,Let's Encrypt,0,0.0019962215
la-redoute,6252,321,254,142,Gandi,0,0.79099566
yaylacioglu,917,177,24,66,Let's Encrypt,0,0.0011783122
sosair,3875,141,170,227,GlobalSign nv-sa,0,0.07160794
baticim,7030,638,-1,-1,,0,0.01402458
ozalpmuh,2256,1394,5,85,Let's Encrypt,0,0.08621973
aderka,3823,558,18,72,Let's Encrypt,0,0.042006597
yildirayolcek,1809,381,23,67,Google Trust Services LLC,0,0.030360673
internationalfocusschools,1053,40,221,174,Sectigo Limited,0,0.5105023
smileist,17,347,-1,-1,,0,0.0527317
espc,7569,100,-1,-1,,0,0.1494324
cagingazetesi,1194,265,296,68,"Cloudflare, Inc.",0,0.0050956127
deltaasansor,3417,234,56,34,Let's Encrypt,0,0.0019958338
gkf,4145,236,19,71,Let's Encrypt,0,0.014865974
stellaplus,1124,335,-1,-1,,0,0.0077659795
kardoksan,620,109,-1,-1,,0,0.008038163
timer,1143,316,-1,-1,,0,0.08683077
sprenger,921,903,7,83,Let's Encrypt,0,0.05828407
di-san,5643,929,-1,-1,,0,0.11900775
gokturkyemek,739,720,25,65,Let's Encrypt,0,0.0019000762
adnanozturk,1463,362,24,66,Google Trust Services LLC,0,0.006728675
adaletligida,1233,591,51,39,Let's Encrypt,0,0.005554659
armanyapi,4193,188,-1,-1,,0,0.0023781736
hewesline,2653,267,-1,-1,,0,0.15255068
turkishsealines,3066,585,11,79,Let's Encrypt,0,0.35973507
laleataman,2714,206,33,57,Let's Encrypt,0,0.09137581
fnsmakina,3748,1729,34,56,Let's Encrypt,0,0.00088070944
metrosan,4917,1656,50,40,Let's Encrypt,0,0.030321417
servisasia,2064,126,14,76,Google Trust Services LLC,0,0.22164118
ankaotomasyon,4322,59,-1,-1,,0,0.013616154
beyker,751,343,44,46,"cPanel, Inc.",0,0.023757225
pastacisekerleme,1655,170,41,49,Let's Encrypt,0,0.0027108686
parcela,1067,392,-1,-1,,0,0.08232506
d-marin,3027,259,11,79,"cPanel, Inc.",0,0.0069527673
okatarmuhendislik,2184,4,249,116,Sectigo Limited,0,0.0023684427
dinamikfuar,3355,296,-1,-1,,0,0.020826435
farmalife,1054,39,41,49,Let's Encrypt,0,0.09103899
balkeslojistik,4630,117,60,30,Let's Encrypt,0,0.0022981535
escada,9524,1431,-1,-1,,0,0.100787364
akifguzel,2694,226,295,70,"Cloudflare, Inc.",0,0.048945956
emorltd,3395,621,-1,-1,,0,0.06758424
pureplus,1703,852,41,49,Let's Encrypt,0,0.032716777
ekrem,7679,1816,-1,-1,,0,0.17200156
moodclub,1582,243,8,82,Google Trust Services LLC,0,0.09203942
seiz,2977,1039,41,49,Let's Encrypt,0,0.10257119
wearonics,2164,25,57,33,Google Trust Services LLC,0,0.3917922
antikadunyasi,2720,200,36,54,Let's Encrypt,0,0.006611408
saklibahceplus,884,210,23,67,Let's Encrypt,0,0.038149267
puntametal,2424,496,17,73,Let's Encrypt,0,0.0015096175
eliptikinvest,900,194,54,36,Let's Encrypt,0,0.023480058
egitimreformu,440,289,21,69,Google Trust Services LLC,0,0.06956722
divarosgb,2474,80,47,43,Let's Encrypt,0,0.0010246548
eceteknik,6668,270,7,83,Let's Encrypt,0,0.0038916033
ltsbilisim,4469,1008,52,38,Let's Encrypt,0,0.01412871
sovtajsepeti,1040,784,-1,-1,,0,0.076416045
tutkun,1611,214,-1,-1,,0,0.0925855
onemyazilim,2746,174,31,59,Google Trust Services LLC,0,0.0033718804
dijinet,6195,12,16,74,Google Trust Services LLC,0,0.10693493
ersoytaspinar,2853,433,42,48,Let's Encrypt,0,0.096116155
izmirgerikazanim,1999,191,31,59,Let's Encrypt,0,0.36298388
millec,4316,65,-1,-1,,0,0.110615954
4d,443,286,37,53,Let's Encrypt,0,0.09934362
egkinsaat,1113,346,310,55,Sectigo Limited,0,0.0054890923
tecnade,4321,60,2,88,Let's Encrypt,0,0.2598037
egtur,6454,119,10,80,Let's Encrypt,0,0.01197053
arozon,3860,156,-1,-1,,0,0.03776613
dktinternational,2557,363,11,79,Let's Encrypt,0,0.13262191
soudal,4173,208,3,87,Let's Encrypt,0,0.42098147
basarmandanismanlik,4035,346,145,220,Sectigo Limited,0,0.005525655
nanoprintkimya,3077,574,59,31,Let's Encrypt,0,0.08465957
zigzag,6611,327,53,37,"cPanel, Inc.",0,0.09062062
carsidayim,963,131,3,87,Let's Encrypt,0,0.111992076
korkmaztarim,4889,953,-1,-1,,0,0.0011963415
zaferturkoglu,6729,939,12,78,Let's Encrypt,0,0.0015559159
iconmediagroup,1445,380,10,80,Let's Encrypt,0,0.06483156
alerjikrinit,3481,535,8,82,Let's Encrypt,0,0.05926999
altasoft,3137,149,246,134,Sectigo Limited,0,0.009126392
bybaano,360,369,-1,-1,,0,0.0608405
sistat,2580,705,-1,-1,,0,0.04558665
gemalmaz,1079,380,-1,-1,,0,0.106964305
kayuminsaat,1605,220,1,89,Let's Encrypt,0,0.00514225
islampoyraz,2639,281,26,64,Let's Encrypt,0,0.078991584
mbtisguvenligi,1288,536,-1,-1,,0,0.07112653
relco,1235,589,26,64,Let's Encrypt,0,0.09523863
sararamakurtarma,2335,220,-1,-1,,0,0.022550048
